Tolerace,Iteration,time,x,y
0.0001,22,1525772274.46276,3.0933937523514E-05,6.87420833855867E-06
0.000001,30,1525772274.47475,6.11730698096835E-07,1.3594015513263E-07
0.00000001,40,1525772274.48575,4.53645506706332E-09,0.000000001
1E-10,50,1525772274.49906,3.36413141264767E-11,7.47584758366148E-12
1E-12,58,1525772274.5144,6.65270127989407E-13,1.47837806219868E-13
